product_category,sub_category,brand,discount_percent,product_rating,review_count,fragile_item,warranty_available,product_return_rate,category_return_rate,brand_return_rate,defect_rate,seller_rating,seller_return_rate,fulfillment_type,payment_method,quantity,shipping_distance_km,delayed_delivery,wishlist_before_purchase,product_page_views,returned,total_support_contacts,log_price
Beauty,Haircare,Brand_23,65.2,2.1,96.0,1,1,0.172,0.173,0.219,0.116,4.1,0.128,Marketplace Fulfilled,Credit Card,5,187.9,0,0,9,1,0,6.739454963550437
Toys,Educational,Brand_9,30.1,4.1,87.0,0,1,0.168,0.125,0.155,0.031,4.2,0.171,Marketplace Fulfilled,Credit Card,2,1281.9,0,0,14,0,2,6.329542636514291
Electronics,Laptops,Brand_21,53.4,3.0,75.0,0,0,0.045,0.125,0.103,0.057,4.1,0.186,Marketplace Fulfilled,UPI,3,575.2,1,0,7,0,0,7.367032839067532
Electronics,Laptops,Brand_30,25.3,3.8,57.0,0,1,0.066,0.119,0.085,0.064,3.9,0.133,Marketplace Fulfilled,Credit Card,4,164.5,0,1,9,0,1,7.172079160606663
Electronics,Laptops,Brand_15,30.6,3.0,71.0,0,1,0.183,0.075,0.177,0.076,4.6,0.172,Marketplace Fulfilled,Credit Card,4,474.4,0,0,12,0,0,7.247009356977905
Fashion,Footwear,Brand_7,31.0,3.5,68.0,0,0,0.139,0.133,0.128,0.065,3.8,0.119,Marketplace Fulfilled,COD,2,663.3,0,0,11,1,3,6.573149299818633
Fashion,Men,Brand_29,66.3,3.9,75.0,0,0,0.13,0.183,0.173,0.109,4.9,0.21,Seller Fulfilled,COD,1,899.1,0,0,8,1,0,7.844303436676727
Electronics,Mobiles,Brand_28,14.2,4.1,45.0,0,0,0.233,0.173,0.17,0.062,3.4,0.132,Seller Fulfilled,Debit Card,1,945.9,0,0,14,1,1,6.919614677494584
Fashion,Women,Brand_14,33.6,4.8,82.0,0,1,0.19,0.084,0.209,0.066,,0.179,Seller Fulfilled,Debit Card,1,96.6,0,0,21,0,1,5.922864455615725
Beauty,Skincare,Brand_13,10.4,3.9,83.0,0,0,0.183,0.089,0.139,0.04,4.0,0.167,Marketplace Fulfilled,COD,4,267.5,0,1,14,1,0,5.675142916447037
Electronics,Audio,Brand_26,33.1,,85.0,0,1,0.104,0.168,0.121,0.124,4.1,0.112,Marketplace Fulfilled,Credit Card,2,1394.2,0,0,5,0,0,5.77622715955237
Sports,Team Sports,Brand_1,36.6,3.7,57.0,0,0,0.128,0.085,0.141,0.012,4.5,0.164,Seller Fulfilled,Credit Card,2,619.9,1,0,12,1,2,6.9309247810087795
Beauty,Haircare,Brand_10,9.2,4.5,80.0,0,1,0.177,0.08,0.092,0.066,4.3,0.117,Marketplace Fulfilled,UPI,2,1220.6,1,0,7,0,1,5.2070241081016455
Electronics,Laptops,Brand_17,46.8,3.2,98.0,0,1,0.23,0.08,0.224,0.084,3.6,0.179,Seller Fulfilled,COD,2,173.4,1,0,15,1,1,6.541044429100221
Sports,Fitness,Brand_20,55.5,3.6,55.0,0,1,0.058,0.11,0.132,0.036,4.3,0.125,Seller Fulfilled,Wallet,1,245.6,0,0,6,0,0,5.653926742971297
Sports,Outdoor,Brand_19,54.7,3.9,65.0,0,0,0.206,0.181,0.202,0.092,4.8,0.054,Seller Fulfilled,COD,5,399.5,0,1,20,0,0,5.277297999323961
Electronics,Audio,Brand_12,48.9,3.3,94.0,0,0,0.221,0.121,0.224,0.008,3.8,0.126,Marketplace Fulfilled,Wallet,1,1355.1,1,1,7,1,1,5.421949926993312
